CreatedOn,Sector,Crop,QueryType
2025-01-15 10:30:00,Agriculture,Wheat,Pest Management
2025-02-10 11:15:00,Horticulture,Tomato,Weather Advisory
2025-03-05 14:20:00,Agriculture,Rice,Fertilizer Application
2025-04-18 09:45:00,Agriculture,Cotton,Seed Quality
2025-05-22 16:10:00,Horticulture,Mango,Harvesting Techniques
2025-06-12 12:00:00,Agriculture,Soybean,Monsoon Timing
2025-07-04 15:30:00,Agriculture,Paddy,Weed Control
2025-08-19 10:05:00,Agriculture,Groundnut,Market Prices
2025-09-25 13:40:00,Horticulture,Onion,Storage Advisory
2025-10-14 11:50:00,Agriculture,Mustard,Sowing Guidelines
2025-11-08 09:20:00,Agriculture,Gram,Irrigation Management
2025-12-01 14:10:00,Horticulture,Potato,Disease Control
